year,algorithm,score,nodes,skills,time,solution,loop_time
2010,Half Approximation,106,278,11,31.901362419128418,"{'STL': ('Rajon Rondo', 0), 'OBPM': ('LeBron James', 0), 'DBPM': ('Marcus Camby', 0), 'FG': ('Kevin Durant', 0), '3P': ('Aaron Brooks', 0), '2P': (""Amar'e Stoudemire"", 0), 'TRB': ('Dwight Howard', 0), 'AST': ('Steve Nash', 0), 'VORP': ('Dwyane Wade', 1), 'BLK': ('Andrew Bogut', 1), 'FT': ('Dirk Nowitzki', 2)}",0.0009970664978027344
2010,Greedy,110,278,11,31.901362419128418,"{'FG': ('Kenyon Martin', 128), 'OBPM': ('Gilbert Arenas', 9), 'DBPM': ('Marcus Camby', 0), 'VORP': ('Ben Wallace', 28), '3P': ('Quentin Richardson', 15), '2P': ('Nenad Krstic', 91), 'FT': ('Kyle Lowry', 54), 'TRB': ('Joakim Noah', 18), 'AST': ('Jose Calderon', 22), 'STL': ('Earl Watson', 22), 'BLK': ('Chris Andersen', 4)}",31.611497402191162
2011,Half Approximation,106,289,11,32.132941007614136,"{'AST': ('Steve Nash', 0), 'OBPM': ('LeBron James', 0), 'DBPM': ('Marcus Camby', 0), '3P': ('Dorell Wright', 0), '2P': (""Amar'e Stoudemire"", 0), 'FT': ('Kevin Durant', 0), 'TRB': ('Kevin Love', 0), 'STL': ('Chris Paul', 0), 'BLK': ('Serge Ibaka', 0), 'VORP': ('Derrick Rose', 2), 'FG': ('Kobe Bryant', 2)}",0.0
2011,Greedy,110,289,11,32.132941007614136,"{'VORP': ('Stephen Jackson', 114), 'OBPM': ('Lou Williams', 23), 'DBPM': ('Kurt Thomas', 4), 'FG': ('Michael Beasley', 17), '3P': ('Marco Belinelli', 13), '2P': ('DeMar DeRozan', 17), 'FT': ('Ramon Sessions', 19), 'TRB': ('Kris Humphries', 6), 'AST': ('Jose Calderon', 6), 'STL': ('Derek Fisher', 23), 'BLK': ('JaVale McGee', 1)}",31.910619258880615
2012,Half Approximation,104,286,11,33.18017888069153,"{'BLK': ('Serge Ibaka', 0), 'OBPM': ('LeBron James', 0), 'DBPM': ('Marcus Camby', 0), 'FG': ('Kevin Durant', 0), '3P': ('Ryan Anderson', 0), 'TRB': ('Dwight Howard', 0), 'AST': ('Steve Nash', 0), 'STL': ('Chris Paul', 0), '2P': ('Blake Griffin', 1), 'FT': ('Kobe Bryant', 2), 'VORP': ('Joakim Noah', 3)}",0.0
2012,Greedy,110,286,11,33.18017888069153,"{'OBPM': ('Dwyane Wade', 10), 'DBPM': ('Marcus Camby', 0), 'VORP': ('Joakim Noah', 3), 'FG': ('Russell Westbrook', 2), '3P': ('Jason Terry', 1), '2P': ('Blake Griffin', 1), 'FT': ('Kobe Bryant', 2), 'TRB': ('Dwight Howard', 0), 'AST': ('Steve Nash', 0), 'STL': ('Mike Conley', 1), 'BLK': ('Serge Ibaka', 0)}",32.93653154373169
2013,Half Approximation,106,291,11,34.2022864818573,"{'DBPM': ('Joakim Noah', 0), 'OBPM': ('LeBron James', 0), '3P': ('Stephen Curry', 0), 'FT': ('Kevin Durant', 0), 'TRB': ('Omer Asik', 0), 'AST': ('Greivis Vasquez', 0), 'STL': ('Mike Conley', 0), 'BLK': ('Serge Ibaka', 0), 'FG': ('Kobe Bryant', 1), '2P': ('LaMarcus Aldridge', 1), 'VORP': ('James Harden', 2)}",0.0
2013,Greedy,110,291,11,34.2022864818573,"{'OBPM': ('A.J. Price', 144), 'DBPM': ('Andrew Bogut', 1), 'VORP': ('Tim Duncan', 26), 'FG': ('Josh Smith', 17), '3P': ('Ben Gordon', 45), '2P': ('Carlos Boozer', 11), 'FT': ('DeMar DeRozan', 6), 'TRB': ('Omer Asik', 0), 'AST': ('Evan Turner', 35), 'STL': ('Tony Allen', 19), 'BLK': ('Roy Hibbert', 1)}",34.00939583778381
2014,Half Approximation,106,294,11,34.23484492301941,"{'BLK': ('Serge Ibaka', 0), 'OBPM': ('Kevin Durant', 0), 'DBPM': ('Andrew Bogut', 0), '3P': ('Stephen Curry', 0), '2P': ('Blake Griffin', 0), 'TRB': ('DeAndre Jordan', 0), 'AST': ('John Wall', 0), 'STL': ('Ricky Rubio', 0), 'VORP': ('LeBron James', 1), 'FT': ('James Harden', 1), 'FG': ('Carmelo Anthony', 2)}",0.0
2014,Greedy,110,294,11,34.23484492301941,"{'OBPM': ('Chris Paul', 4), 'DBPM': ('Andrew Bogut', 0), 'VORP': ('Joakim Noah', 4), 'FG': ('Carmelo Anthony', 2), '3P': ('Klay Thompson', 1), '2P': ('Blake Griffin', 0), 'FT': ('James Harden', 1), 'TRB': ('DeAndre Jordan', 0), 'AST': ('John Wall', 0), 'STL': ('Ricky Rubio', 0), 'BLK': ('Serge Ibaka', 0)}",34.029815435409546
2015,Half Approximation,103,319,11,40.58602571487427,"{'FT': ('James Harden', 0), 'OBPM': ('Stephen Curry', 0), 'DBPM': ('Andrew Bogut', 0), 'FG': ('LaMarcus Aldridge', 0), '2P': ('Anthony Davis', 0), 'TRB': ('DeAndre Jordan', 0), 'AST': ('Chris Paul', 0), '3P': ('Klay Thompson', 1), 'BLK': ('Rudy Gobert', 1), 'VORP': ('Russell Westbrook', 2), 'STL': ('Trevor Ariza', 3)}",0.0
2015,Greedy,110,319,11,40.58602571487427,"{'OBPM': ('Kyle Lowry', 12), 'DBPM': ('Andrew Bogut', 0), 'VORP': ('Marc Gasol', 7), 'FG': ('LaMarcus Aldridge', 0), '3P': ('Klay Thompson', 1), '2P': ('Nikola Vucevic', 1), 'FT': ('DeMarcus Cousins', 2), 'TRB': ('DeAndre Jordan', 0), 'AST': ('John Wall', 1), 'STL': ('Trevor Ariza', 3), 'BLK': ('Rudy Gobert', 1)}",40.39434456825256
2016,Half Approximation,103,299,11,35.251660108566284,"{'AST': ('Rajon Rondo', 0), 'OBPM': ('Stephen Curry', 0), 'DBPM': ('Andrew Bogut', 0), '2P': ('LeBron James', 0), 'FT': ('James Harden', 0), 'TRB': ('Andre Drummond', 0), 'BLK': ('Hassan Whiteside', 0), 'VORP': ('Russell Westbrook', 1), '3P': ('Klay Thompson', 1), 'STL': ('Ricky Rubio', 2), 'FG': ('Kevin Durant', 3)}",0.0009846687316894531
2016,Greedy,110,299,11,35.251660108566284,"{'OBPM': ('Carmelo Anthony', 21), 'DBPM': ('Andrew Bogut', 0), 'VORP': ('Draymond Green', 8), 'FG': ('C.J. McCollum', 6), '3P': ('J.R. Smith', 6), '2P': ('Karl-Anthony Towns', 1), 'FT': ('DeMar DeRozan', 1), 'TRB': ('Andre Drummond', 0), 'AST': ('Rajon Rondo', 0), 'STL': ('Ricky Rubio', 2), 'BLK': ('Hassan Whiteside', 0)}",35.05226111412048
2017,Half Approximation,104,310,11,37.26274800300598,"{'DBPM': ('Lucas Nogueira', 0), 'OBPM': ('Russell Westbrook', 0), '3P': ('Stephen Curry', 0), '2P': ('Anthony Davis', 0), 'FT': ('James Harden', 0), 'TRB': ('Andre Drummond', 0), 'STL': ('John Wall', 0), 'BLK': ('Rudy Gobert', 0), 'FG': ('Karl-Anthony Towns', 1), 'VORP': ('LeBron James', 2), 'AST': ('Ricky Rubio', 3)}",0.0
2017,Greedy,110,310,11,37.26274800300598,"{'FG': ('Evan Turner', 154), 'OBPM': ('Jeremy Lin', 32), 'DBPM': ('Lucas Nogueira', 0), 'VORP': ('Andre Iguodala', 36), '3P': ('Wayne Ellington', 25), '2P': ('Kenneth Faried', 101), 'FT': ('Joel Embiid', 56), 'TRB': ('Bismack Biyombo', 24), 'AST': ('Rajon Rondo', 13), 'STL': ('Patrick Beverley', 21), 'BLK': (""Kyle O'Quinn"", 10)}",37.06432890892029
